id,name,region,address,city,state,created_at,updated_at
abf1e3f6-0fe5-4b15-af56-3831b5cf0bc8,Mcclain Ltd,Lake Johnland,1903 Daniel Corners,Elizabethfort,Florida,2021-10-24 04:56:31,2023-12-08 18:10:59
70ffb2ba-a66e-4881-bdc3-badf9245e6d4,Morton and Sons,Patelton,28413 Alicia Spurs,Patriciamouth,Massachusetts,2023-09-17 11:15:13,2023-03-29 04:27:56
b9d7f15f-beb2-4e36-98e5-bdd0228afed8,Porter-Wise,Laurahaven,6449 Robert Fall,New Annaburgh,New Hampshire,2021-04-08 11:20:58,2021-07-10 15:02:35
ddb8662c-e405-4576-8b0f-f1ef155d1ee0,"Price, Ferguson and Hunt",Lake Rhonda,112 Welch Mission,East Hectorview,Oregon,2023-08-11 20:30:04,2023-05-09 08:40:18
dbd720ff-4b2a-484c-992a-591a8527a584,"Guzman, Anderson and Hopkins",Randybury,43080 Christopher Corners,East Aaronhaven,Oklahoma,2020-09-06 17:17:27,2023-06-12 10:38:24
493eaa44-d748-447c-8fa8-69c1fdda2b99,"Sullivan, Thomas and Hernandez",Port Brendachester,899 Haley Forges Apt. 592,Lindseyberg,Alabama,2020-01-10 23:49:54,2024-06-07 19:44:30
463571a7-ec2b-4163-9c96-4b009fe36ffa,Thompson LLC,Stanleystad,9046 Foster Motorway Suite 106,East Cheryl,Colorado,2024-07-16 21:19:53,2021-08-07 15:35:23
3cbd15cb-7964-47e8-9837-95ab31aff8bc,"Ellison, Moon and Rodriguez",East Richard,4186 Teresa Terrace Suite 607,Nortonside,Rhode Island,2024-08-04 11:05:38,2020-08-15 11:38:55
2dc64574-deba-4724-9cc4-9cc76b66eea8,"Cole, English and Wilson",Port Davidshire,859 Hoffman Springs,Lake Abigailmouth,Kentucky,2023-11-01 22:50:00,2024-03-24 01:33:01
2247a719-5a00-4300-ac2b-7376899796f1,"Klein, Fitzgerald and Martin",South Brandon,646 Victoria Drive Apt. 188,West Christopherberg,South Carolina,2021-09-03 04:16:16,2024-01-26 16:34:52
162eca64-23c2-4204-b3d4-dbf4b1941b6d,Castillo-Lewis,Stephaniestad,19623 Jones Corner Apt. 657,Haleytown,North Dakota,2023-12-20 17:33:55,2020-01-10 17:19:13
